DBN,name,year
84Q340,challenge preparatory charter school,2017
02M298,pace high school,2006
19K325,the fresh creek school,2014
02M565,urban academy laboratory high school            ,2012
06M128,p.s. 128 audubon,2014
12X682,fannie lou hamer freedom high school,2007
84K037,beginning with children charter school ii,2017
12X262,bronx high school for performance & stagecraft,2007
08X269,bronx studio school for writers and artists,2006
11X481,the steam bridge school,2016
09X204,ps 204 morris heights                           ,2012
08X366,urban assembly academy of civic engagement      ,2012
16K393,frederick douglass academy iv secondary school,2008
08X146,p.s. 146 edward collins,2014
84K649,la cima charter school,2014
11X180,i s 180 daniel hale williams                    ,2012
22K109,ps 109,2011
19K108,ps 108 sal abbracciamento,2008
12X196,ps 196,2006
84M704,harbor science and arts charter school,2015
84K738,new visions charter high school for advanced math,2015
19K583,multicultural high school,2011
09X042,ps 042 claremont,2011
27Q650,"high school for construction trades, engineering a",2015
26Q266,p.s./i.s. 266,2017
25Q032,p.s. 032 state street,2018
10X159,p.s. 159 luis munoz marin biling,2017
84K362,hellenic classical charter school,2015
31R039,ps 39 francis j murphy jr.,2007
29Q251,ps 251 queens,2008
02M002,p.s. 002 meyer london,2018
21K288,ps 288 the shirley tanyhill,2011
28Q325,hillside arts & letters academy,2014
30Q227,i s 227 louis armstrong                         ,2012
30Q070,ps 070 queens,2011
07X224,p.s./i.s. 224,2015
21K288,ps 288 the shirley tanyhill,2006
10X046,ps 046 edgar allan poe,2010
10X059,ps 059 the comm school of tec,2009
30Q145,i.s. 145 joseph pulitzer,2017
03M208,ps 208 alain l locke,2010
13K595,bedford academy high school,2018
84M100,neighborhood charter school of harlem,2017
02M520,murry bergtraum high school for business careers,2016
31R038,p.s. 038 george cromwell,2015
21K329,p.s. 329 surfside,2014
18K279,p.s. 279 herman schreiber,2014
13K266,ms 266 park place comm. ms                      ,2012
20K170,ralph a. fabrizio school,2015
09X241,urban assembly school for applied math and science,2014
29Q326,cambria heights academy                         ,2012
13K044,ps 044 marcus garvey,2007
84K648,bedford stuyvesant collegiate charter school,2018
14K449,brooklyn latin,2009
02M051,p.s. 051 elias howe,2015
11X544,high school for contemporary arts,2014
05M046,p.s. 046 arthur tappan,2018
28Q196,p.s. 196 grand central parkway,2017
14K586,lyons community school,2015
07X527,bronx leadership academy ii high school,2007
07X551,the urban assembly bronx academy of letters,2014
31R056,ps 56 the louis desario school,2009
28Q687,queens high school for sciences at york college,2010
29Q181,p.s. 181 brookfield,2016
29Q131,ps 131 abigail adams                            ,2012
08X138,ps 138 samuel randall                           ,2012
18K211,i.s. 211 john wilson,2017
02M006,ps 006 lillie d. blake,2010
32K151,ps 151 lyndon b johnson,2006
24Q087,ps 087 middle village                           ,2012
06M223,i s 223 mott hall,2010
18K208,ps 208 elsa ebeling,2006
24Q267,high school of applied communication,2018
01M188,p.s. 188 the island school,2017
17K012,dr. jacqueline peek-davis school,2015
15K131,ps 131 brooklyn,2009
26Q041,ps 041 crocheron,2011
02M393,the business of sports school,2011
18K598,middle school of marketing and legal studies,2008
30Q145,i.s. 145 joseph pulitzer,2016
75Q177,p.s. q177,2014
75K368,p.s. 368,2014
84K777,ocean hill collegiate charter school,2014
02M313,"james baldwin school, the: a school for expedition",2016
13K020,p.s. 020 clinton hill,2015
31R026,ps 026 the carteret school,2009
29Q109,jean nuzzi intermediate school,2008
27Q317,waterside children's studio school,2014
27Q225,ps 225 seaside,2007
14K297,ps 297 abraham stockton,2008
06M115,ps 115 alexander humboldt,2007
31R032,ps 032 the gifford school,2008
24Q014,ps 014 fairview,2011
29Q313,benjamin franklin high school for finance & inform,2018
04M435,manhattan center for science and mathematics,2018
04M555,central park east secondary high school,2010
31R019,ps 019 the curtis school,2008
08X123,j.h.s. 123 james m. kieran,2016
25Q540,queens academy high school,2018
23K493,brooklyn collegiate: a college board school,2015
02M416,eleanor roosevelt high school,2016
02M111,p.s. 111 adolph s. ochs,2015
14K017,ps 017 henry d woodworth,2011
09X449,grant avenue elementary school,2017
23K643,brooklyn democracy academy,2009
13K483,the urban assembly school for law and justice,2007
19K507,performing arts and technology high school      ,2012
17K546,high school for public service: heroes of tomorrow,2017
30Q152,p.s. 152 gwendoline n. alleyne school,2016
27Q056,p.s. 056 harry eichler,2018
17K353,elijah stroud middle school,2010
18K135,p.s. 135 sheldon a. brookner,2018
21K199,p.s. 199 frederick wachtel,2017
09X163,ps 163 arthur a schomburg,2011
24Q296,pan american international high school,2014
07X379,jill chaifetz transfer high school,2009
04M635,academy of environmental science secondary high,2007
26Q221,ps 221 north hills,2009
25Q032,p.s. 032 state street,2017
27Q105,ps 105 the bay school,2011
02M130,p.s. 130 hernando de soto,2017
02M234,p.s. 234 independence school,2015
28Q220,p.s. 220 edward mandel,2017
13K575,bedford stuyvesant preparatory high school,2017
06M322,middle school 322,2008
01M020,p.s. 020 anna silver,2017
08X337,the school for inquiry and social justice,2018
04M007,p.s. 007 samuel stern,2014
11X544,high school for contemporary arts,2008
18K500,canarsie high school,2006
02M183,ps 183 robert l stevenson,2010
24Q071,ps 071 forest,2010
18K219,p.s. 219 kennedy-king,2015
05M157,the urban assembly school for global commerce,2018
30Q069,ps 069 jackson heights,2006
10X159,ps 159 luis munoz marin biling,2010
10X307,luisa pineiro fuentes school of science and discov,2015
21K288,p.s. 288 the shirley tanyhill,2018
09X403,bronx international high school,2015
10X243,west bronx academy for the future,2015
12X341,accion academy,2018
08X125,jhs 125 henry hudson,2008
84K536,community roots charter school,2015
18K208,ps 208 elsa ebeling,2010
17K167,ps 167 the parkway                              ,2012
29Q134,ps 134 hollis                                   ,2012
11X542,pelham preparatory academy,2007
18K115,p.s. 115 daniel mucatel school,2014
04M825,isaac newton jhs for science & math,2006
05M133,p.s. 133 fred r moore,2018
19K659,cypress hills collegiate preparatory school,2016
28Q284,york early college academy,2008
21K098,is 98 bay academy,2009
27Q207,p.s. 207 rockwood park,2016
21K095,ps 095 the gravesend,2006
84M482,success academy charter school - harlem 5,2015
14K577,conselyea preparatory school,2009
03M307,the urban assembly school for media studies,2010
31R861,staten island school of civic leadership,2015
